id;start_date;end_date;language
1;2020-10-05T14:39:09;2020-10-05T12:29:24;SPANISH
2;2020-10-04T19:29:20;2020-10-05T14:33:45;SPANISH
3;2020-10-05T10:24:39;2020-10-04T20:58:48;FRENCH
4;2020-10-05T01:42:10;2020-10-05T13:13:36;FRENCH
5;2020-10-05T11:12:28;2020-10-05T15:59:27;FRENCH
6;2020-10-05T05:04:49;2020-10-05T17:13:03;FRENCH
7;2020-10-05T06:50:09;2020-10-05T00:41:00;FRENCH
8;2020-10-05T05:46:22;2020-10-05T16:02:30;SPANISH
9;2020-10-05T04:27:31;2020-10-05T01:08:54;SPANISH
10;2020-10-05T12:39:35;2020-10-04T23:14:05;SPANISH
